bank,npa_ratio,credit_growth,capital_adequacy,mode,ground_truth,prediction,npa_assessment,rbi_policy_ref,hallucination_risk,reasoning,correct
Bank A,2.1%,14%,16.2%,no_rag,LOW,HIGH,The NPA ratio of 2.1% indicates a significant credit risk for Bank A.,,LOW,"The high NPA ratio suggests that the bank may be struggling to recover its bad debts, which can impact its overall financial health.",False
Bank A,2.1%,14%,16.2%,top_3,LOW,HIGH,"The bank's NPA ratio is already high at 2.1%, and with restructuring and slippages books potentially turning into NPAs, the risk of further deterioration is significant.",,LOW,"The context suggests that the bank has a high NPA ratio and credit growth, which may indicate underlying issues in its loan book. Additionally, the moratorium and restructuring since March this year have masked the true extent of the NPA problem, which is likely to emerge once these measures end.",False
Bank A,2.1%,14%,16.2%,top_5,LOW,HIGH,"The bank's NPA ratio is 2.1%, which is higher than the industry average, and with restructuring and slippages books potentially turning into NPAs, the risk of NPA increases.",,LOW,"The context suggests that the bank has a high NPA ratio, and with the economy slowing down, there is likely to be an impact on businesses and retail borrowers, increasing the risk of NPA.",False
Bank B,5.8%,8%,13.1%,no_rag,MEDIUM,HIGH,The NPA ratio of 5.8% indicates a significant credit risk for Bank B.,,LOW,"The high NPA ratio suggests that the bank may be struggling to recover its bad debts, which can impact its financial stability and capital adequacy.",False
Bank B,5.8%,8%,13.1%,top_3,MEDIUM,HIGH,"The NPA ratio of 5.8% indicates a high risk of non-performing assets, especially with the restructuring and slippages books potentially turning into NPAs.",,LOW,"The bank's credit growth is strong at 8%, but the NPA problem is hidden due to moratorium and restructuring. The economy slowdown may impact businesses and retail borrowers, leading to a potential increase in NPAs.",False
Bank B,5.8%,8%,13.1%,top_5,MEDIUM,HIGH,"The bank's NPA ratio is 5.8%, which indicates a high risk of NPAs turning into bad loans once the loan restructuring ends.",,LOW,"The context suggests that the bank has two more quarters to make provisions against doubtful loans, and many suggest that loans will turn NPA once the two-year loan restructuring ends.",False
Bank C,3.4%,11%,14.8%,no_rag,MEDIUM,HIGH,The NPA ratio of 3.4% indicates a significant credit risk for Bank C.,,LOW,"The high NPA ratio suggests that the bank may be struggling to recover its bad debts, which can impact its overall financial health.",False
Bank C,3.4%,11%,14.8%,top_3,MEDIUM,MEDIUM,The NPA risk is moderate due to the bank's high credit growth and relatively low capital adequacy.,,LOW,"The context suggests that the bank has a high credit growth, which may lead to an increase in NPAs. The capital adequacy ratio is also relatively low, indicating some vulnerability.",True
Bank C,3.4%,11%,14.8%,top_5,MEDIUM,MEDIUM,"The bank's NPA ratio is 3.4%, which is higher than Bank C's gross NPAs at 5.28%. However, the credit growth of 11% and capital adequacy of 14.8% suggest that the bank has some buffer to absorb potential NPA risks.",,LOW,"The context suggests that the bank's NPA problem is hidden due to moratorium and restructuring, but it may emerge once these measures end. The credit growth and capital adequacy indicate some resilience, but the NPA ratio remains a concern.",True
Bank D,7.2%,6%,11.9%,no_rag,HIGH,HIGH,"The NPA ratio of 7.2% indicates a high risk of credit defaults, which is further exacerbated by the bank's low credit growth.",,LOW,"The high NPA ratio and stagnant credit growth suggest that the bank may be struggling to recover from bad loans, increasing its credit risk.",True
