age,monthly_income,debt_ratio,revolving_util,times_90_late,mode,ground_truth,prediction,default_probability,key_risk_factors,hallucination_risk,reasoning,correct
45,9120.0,0.802982129,0.766126609,0,no_rag,HIGH,HIGH,60%,"['high debt ratio', 'low credit utilization', 'multiple open credit lines']",LOW,"The applicant's high debt ratio and low credit utilization indicate a potential risk of default. Additionally, having multiple open credit lines may suggest a lack of financial discipline.",True
45,9120.0,0.802982129,0.766126609,0,top_3,HIGH,MEDIUM,25%,"['high debt ratio', 'revolving utilization above average']",LOW,"The applicant's high debt ratio and revolving utilization indicate a potential risk of default. However, their income is relatively high, which may mitigate this risk.",False
45,9120.0,0.802982129,0.766126609,0,top_5,HIGH,MEDIUM,25%,"['high debt ratio', 'revolving utilization above average']",LOW,"The applicant's high debt ratio and revolving utilization indicate a higher risk of default. However, the income is relatively high, which may mitigate this risk.",False
40,13700.0,0.382964747,0.964672555,3,no_rag,HIGH,HIGH,60%,"['times_90_late=3', 'debt_ratio=0.382964747']",LOW,"The applicant has a high debt ratio and three instances of being 90+ days late on payments, indicating potential financial strain.",True
40,13700.0,0.382964747,0.964672555,3,top_3,HIGH,MEDIUM,25%,"['high debt ratio', 'multiple times 90 days late']",LOW,"The applicant's high debt ratio and multiple instances of being 90 days late indicate a higher risk of default. However, the income is relatively high, which may mitigate some of this risk.",False
40,13700.0,0.382964747,0.964672555,3,top_5,HIGH,MEDIUM,25%,"['high revolving utilization', 'multiple times 90 days late']",LOW,"The applicant's high revolving utilization and multiple instances of being 90 days late indicate a higher risk of default. However, their income is relatively high, which may mitigate this risk.",False
38,3000.0,0.475841386,0.025655677,0,no_rag,HIGH,MEDIUM,25%,"['high debt ratio', 'low revolving utilization']",LOW,"The applicant's high debt ratio indicates a potential risk of default, while the low revolving utilization suggests they are managing their credit well. However, the absence of late payments and sufficient income mitigate this risk.",False
38,3000.0,0.475841386,0.025655677,0,top_3,HIGH,MEDIUM,25%,"['debt ratio', 'revolving utilization']",LOW,"The applicant's debt ratio is relatively high (0.475841386), indicating potential financial strain, while the revolving utilization is moderate (0.025655677). This combination suggests a medium default risk.",False
38,3000.0,0.475841386,0.025655677,0,top_5,HIGH,MEDIUM,25%,"['debt ratio', 'revolving utilization']",LOW,"The applicant's debt ratio is relatively high (0.475841386), indicating potential financial strain, while the revolving utilization is moderate (0.025655677). This combination suggests a medium default risk.",False
50,4676.0,1.595253368,0.392248482,0,no_rag,HIGH,MEDIUM,25%,"['high debt ratio', 'low revolving utilization', 'no late payments']",LOW,"The applicant's high debt ratio and low revolving utilization indicate potential financial strain, while the lack of late payments suggests some ability to manage debt. However, the overall risk profile is not extremely high or low.",False
50,4676.0,1.595253368,0.392248482,0,top_3,HIGH,MEDIUM,25%,"['debt ratio', 'revolving utilization']",LOW,"The applicant's debt ratio is high (1.595253368) and revolving utilization is moderate (0.392248482), indicating potential financial strain. This, combined with the lack of past due payments, suggests a medium default risk.",False
50,4676.0,1.595253368,0.392248482,0,top_5,HIGH,MEDIUM,25%,"['debt ratio', 'revolving utilization']",LOW,"The applicant's debt ratio is high at 1.595253368, indicating a potential risk of default. Additionally, the revolving utilization is moderate at 0.392248482, which may also contribute to the default risk.",False
31,3000.0,0.824725092,0.728150491,0,no_rag,HIGH,MEDIUM,25%,"['high debt ratio', 'low credit utilization']",LOW,"The applicant's high debt ratio and low credit utilization indicate a moderate risk of default. Although they have no late payments, their debt burden is significant.",False
31,3000.0,0.824725092,0.728150491,0,top_3,HIGH,MEDIUM,25%,"['high debt ratio', 'revolving utilization above average']",LOW,"The applicant's high debt ratio and revolving utilization indicate potential financial strain, increasing the default risk. However, their income is moderate, which may mitigate this risk.",False
31,3000.0,0.824725092,0.728150491,0,top_5,HIGH,MEDIUM,25%,"['high debt ratio', 'revolving utilization above average']",LOW,"The applicant's high debt ratio and revolving utilization indicate potential financial strain, increasing the default risk. However, their income is moderate, which may mitigate some of these risks.",False
40,2600.0,0.121876201,0.957151019,0,no_rag,LOW,MEDIUM,25%,"['debt_ratio', 'revolving_util']",LOW,"The applicant's debt ratio is relatively low, indicating a good credit history. However, the revolving utilization rate is high, suggesting potential over-reliance on credit. This mixed signal suggests a moderate default risk.",True
40,2600.0,0.121876201,0.957151019,0,top_3,LOW,MEDIUM,25%,"['debt ratio', 'revolving utilization']",LOW,"The applicant's debt ratio is relatively high compared to the average, and their revolving utilization is extremely high. This suggests a potential risk of default.",True
40,2600.0,0.121876201,0.957151019,0,top_5,LOW,MEDIUM,25%,"['high revolving utilization', 'debt ratio above average']",LOW,"The applicant's high revolving utilization and debt ratio indicate a higher risk of default. However, their age is relatively low compared to some other applicants in the context.",True
38,3042.0,0.085113375,0.65818014,1,no_rag,LOW,MEDIUM,25%,"['times_90_late=1', 'debt_ratio=0.085113375']",LOW,"The applicant has a history of late payments (times_90_late=1), which increases the default risk. Additionally, their debt-to-income ratio is relatively high at 8.51%, indicating potential financial strain.",True
38,3042.0,0.085113375,0.65818014,1,top_3,LOW,MEDIUM,25%,"['times_90_late=1', 'revolving_util=0.65818014']",LOW,"The applicant's high revolving utilization and history of being 90 days late indicate a higher risk of default. However, their relatively low debt ratio suggests they may be able to manage their debt.",True
38,3042.0,0.085113375,0.65818014,1,top_5,LOW,MEDIUM,25%,"['times_90_late=1', 'revolving_util=0.65818014']",LOW,"The applicant's revolving utilization is relatively high, indicating potential credit risk. Additionally, the times 90 days late is 1, which suggests a history of delayed payments.",True
30,3300.0,0.036049682,0.233809776,0,no_rag,LOW,MEDIUM,25%,"['debt_ratio', 'revolving_util']",LOW,"The applicant's debt ratio is relatively low at 3.6%, indicating a good credit history. However, the revolving utilization rate of 23.38% suggests some potential for overspending. This mixed picture leads to a medium default risk assessment.",True
30,3300.0,0.036049682,0.233809776,0,top_3,LOW,MEDIUM,25%,"['high revolving utilization (0.233809776)', 'relatively low income-to-debt ratio (0.036049682)']",LOW,"The applicant's high revolving utilization and relatively low income-to-debt ratio suggest a moderate default risk, as seen in similar profiles in the context.",True
30,3300.0,0.036049682,0.233809776,0,top_5,LOW,MEDIUM,25%,"['high revolving utilization', 'debt ratio slightly above average']",LOW,"The applicant's high revolving utilization and debt ratio, although not extremely high, indicate a moderate risk of default. The age is relatively young, which is a positive factor.",True
49,63588.0,0.024925695,0.9072394,0,no_rag,LOW,MEDIUM,25%,"['debt_ratio', 'revolving_util']",LOW,"The applicant's debt ratio is relatively low, indicating a good credit history. However, the revolving utilization rate is high, suggesting potential over-reliance on credit. This mixed signal suggests a moderate default risk.",True
49,63588.0,0.024925695,0.9072394,0,top_3,LOW,MEDIUM,25%,"['high revolving utilization (0.9072394)', 'past due 30-59 days (1)']",LOW,"The applicant's high revolving utilization and past due payments indicate a higher risk of default, but the relatively low debt ratio suggests some ability to manage debt.",True
49,63588.0,0.024925695,0.9072394,0,top_5,LOW,MEDIUM,25%,"['high revolving utilization (0.9072394)', 'previous default experience (past due 30-59 days=1)']",LOW,"The applicant's high revolving utilization and previous default experience indicate a higher risk of loan default. However, the relatively low debt ratio and moderate income suggest that the risk is not extremely high.",True
74,3500.0,0.375606969,0.213178682,0,no_rag,LOW,HIGH,60%,"['high debt ratio', 'low income-to-debt ratio', 'age']",LOW,"The applicant's high debt ratio and low income-to-debt ratio indicate a higher risk of default. Additionally, the applicant's age may also contribute to a higher default risk.",False
74,3500.0,0.375606969,0.213178682,0,top_3,LOW,MEDIUM,25%,"['debt ratio', 'revolving utilization']",LOW,"The applicant's debt ratio is relatively high (0.375606969), indicating potential financial strain, while the revolving utilization is moderate (0.213178682). This combination suggests a medium default risk.",True
